metric,value
reconciled_rows,457
review_status__manual_club_metadata_reviewed_triage,251
review_status__auto_candidate_high_stadium_coords,206
step5_only_rows_not_in_step6_snapshot,7
nonblank__league,457
nonblank__country,457
nonblank__city,455
nonblank__stadium,457
nonblank__club_lat,413
nonblank__club_lon,413
nonblank__wikidata_id,449
nonblank__wikipedia_url,436
match_status__auto_candidate_high_stadium_coords,206
match_status__candidate_coords_need_review,11
match_status__candidate_no_coordinates,38
match_status__candidate_stadium_coords_needs_spotcheck,192
match_status__needs_manual_match_review,2
match_status__no_wikidata_candidates_found,8
