club_id,wikidata_id,club_name,club_name_ascii,league,country,city,stadium,club_source_url,manual_review_flag,notes
c_bournemouth_39b029b6,,Bournemouth,Bournemouth,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: The Football Association. Needs league/country/city/geocoding.
c_borac_banja_luka_0d0962ee,,Borac Banja Luka,Borac Banja Luka,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: Football Association of Bosnia and Herzegovina. Needs league/country/city/geocoding.
c_sturm_graz_0596817b,,Sturm Graz,Sturm Graz,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: Austrian Football Association. Needs league/country/city/geocoding.
c_austin_fc_2ef8ba67,,Austin FC,Austin Fc,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: United States Soccer Federation. Needs league/country/city/geocoding.
c_lyon_438a3fab,,Lyon,Lyon,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: French Football Federation. Needs league/country/city/geocoding.
c_chelsea_3635e19c,,Chelsea,Chelsea,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: The Football Association. Needs league/country/city/geocoding.
c_mainz_22831aa9,,Mainz 05,Mainz,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: German Football Association. Needs league/country/city/geocoding.
c_colorado_springs_switchbacks_fc_b6effa4d,,Colorado Springs Switchbacks FC,Colorado Springs Switchbacks Fc,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: United States Soccer Federation. Needs league/country/city/geocoding.
c_kalba_b92240e8,,Kalba,Kalba,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: United Arab Emirates Football Association. Needs league/country/city/geocoding.
c_al_karma_24e71577,,Al-Karma,Al Karma,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: Iraq Football Association. Needs league/country/city/geocoding.
c_al_hussein_7234b0cf,,Al-Hussein,Al Hussein,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: Jordan Football Association. Needs league/country/city/geocoding.
c_al_fateh_51013db3,,Al-Fateh,Al Fateh,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: Saudi Arabian Football Federation. Needs league/country/city/geocoding.
c_sunderland_4c3969a1,,Sunderland,Sunderland,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: The Football Association. Needs league/country/city/geocoding.
c_al_hilal_c3621aa5,,Al-Hilal,Al Hilal,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: Saudi Arabian Football Federation. Needs league/country/city/geocoding.
c_manchester_united_14c38c14,,Manchester United,Manchester United,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: The Football Association. Needs league/country/city/geocoding.
c_jeonbuk_hyundai_motors_cf0b1d05,,Jeonbuk Hyundai Motors,Jeonbuk Hyundai Motors,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: Korea Football Association. Needs league/country/city/geocoding.
c_navbahor_namangan_294bc8dd,,Navbahor Namangan,Navbahor Namangan,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,TRUE,New club from final-roster replacement import 2026-07-12; club association per Wikipedia flag: Uzbekistan Football Association. Needs league/country/city/geocoding.
