player_id,team_code,fifa_listed_name,gk_saves,gk_actions_inside_box,gk_actions_outside_box,as_of_stage,source_id,retrieved_at
p_par_orlando_gill_7aa70d28,PAR,Orlando Gill,28,141,124,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_cuw_eloy_room_766eba9c,CUW,Eloy Room,21,81,72,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_sui_gregor_kobel_9fd52126,SUI,Gregor Kobel,20,100,88,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_por_diogo_costa_f79c6507,POR,Diogo Costa,20,114,93,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_mar_yassine_bounou_cc5a7582,MAR,Yassine Bounou,19,112,91,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_cpv_vozinha_39ca1e1b,CPV,Vozinha,18,136,102,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_jpn_zion_suzuki_96139af4,JPN,Zion Suzuki,17,78,64,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_ksa_mohammed_al_owais_503d89a6,KSA,Mohammed Alowais,17,86,78,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_bel_thibaut_courtois_040ad8d2,BEL,Thibaut Courtois,17,110,90,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_nor_rjan_nyland_2dbf8b2e,NOR,Orjan Nyland,17,107,93,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_ned_bart_verbruggen_6e94a97f,NED,Bart Verbruggen,17,57,54,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_qat_mahmoud_abunada_b9d0a3c8,QAT,Mahmoud Abunada,16,124,103,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_irn_alireza_beiranvand_c79fbeca,IRN,Alireza Beiranvand,15,75,65,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_cod_lionel_mpasi_ae61eb92,COD,Lionel Mpasi,15,83,70,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_aut_alexander_schlager_b76cdc05,AUT,Alexander Schlager,15,85,74,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_bra_alisson_94f708d4,BRA,Alisson,15,67,59,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_eng_jordan_pickford_94fab51d,ENG,Jordan Pickford,14,116,94,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_egy_mostafa_shobeir_a364322d,EGY,Mostafa Shoubir,14,119,105,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_rsa_ronwen_williams_8988314c,RSA,Ronwen Williams,14,72,59,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_aus_patrick_beach_622c4760,AUS,Patrick Beach,14,91,76,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_hai_johny_placide_5b55b6a8,HAI,Johny Placide,13,56,48,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_ecu_hernan_galindez_f5182915,ECU,Hernan Galindez,12,68,63,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_swe_jacob_widell_zetterstrom_e958d11e,SWE,Jacob Widell Zetterstrom,12,54,46,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_cro_dominik_livakovic_b645f4ec,CRO,Dominik Livakovic,12,80,68,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_fra_mike_maignan_07745398,FRA,Mike Maignan,11,66,53,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_civ_yahia_fofana_2e5eb280,CIV,Yahia Fofana,11,84,68,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_kor_kim_seung_gyu_3b561c51,KOR,Kim Seunggyu,11,42,34,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_nzl_max_crocombe_9b736de0,NZL,Max Crocombe,11,97,88,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_cze_matej_kovar_e022bdce,CZE,Matej Kovar,11,60,52,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_esp_unai_simon_0ed05794,ESP,Unai Simon,10,85,65,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_usa_matt_freese_e8fb1d12,USA,Matt Freese,10,58,48,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_pan_orlando_mosquera_13ae1ad6,PAN,Orlando Mosquera,9,48,42,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_sco_angus_gunn_891fa04c,SCO,Angus Gunn,9,75,64,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_alg_luca_zidane_9bb39f36,ALG,Luca Zidane,9,34,32,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_jor_yazid_abulaila_b5866197,JOR,Yazeed Abulaila,8,70,56,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_sen_edouard_mendy_12d6c326,SEN,Edouard Mendy,8,34,25,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_gha_lawrence_ati_zigi_050bf0e0,GHA,Lawrence Ati Zigi,8,31,30,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_gha_benjamin_asare_6451594e,GHA,Benjamin Asare,8,55,47,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_bih_nikola_vasilj_4d665981,BIH,Nikola Vasilj,8,92,70,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_tur_ugurcan_cakir_92178001,TUR,Ugurcan Cakir,8,55,46,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_arg_emiliano_martinez_c1a843dd,ARG,Emiliano Martinez,8,76,64,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_mex_raul_rangel_fd3acb0d,MEX,Raul Rangel,8,57,46,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_col_camilo_vargas_700a4a06,COL,Camilo Vargas,7,57,54,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_irq_jalal_hassan_4f8cd40c,IRQ,Jalal Hassan,7,51,45,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_ger_manuel_neuer_2b002102,GER,Manuel Neuer,7,61,45,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_can_maxime_crepeau_58975bf1,CAN,Maxime Crepeau,7,49,40,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_tun_aymen_dahmen_b36b253a,TUN,Aymen Dahmen,6,51,44,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_sen_mory_diaw_03abd6b3,SEN,Mory Diaw,5,53,45,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_nor_egil_selvik_9a4e6ec6,NOR,Egil Selvik,5,25,22,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_uzb_abduvokhid_nematov_fcf4ccf8,UZB,Abduvohid Nematov,5,55,44,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_swe_kristoffer_nordfeldt_c048cf33,SWE,Kristoffer Nordfeldt,4,22,20,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_uru_fernando_muslera_496c516d,URU,Fernando Muslera,4,41,34,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_irq_ahmed_basil_cdcfe125,IRQ,Ahmed Basil,3,43,36,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_bel_senne_lammens_578abff0,BEL,Senne Lammens,2,7,5,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_uzb_utkir_yusupov_2a10db50,UZB,Utkir Yusupov,1,27,21,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_tun_abdelmouhib_chamakh_e29f55d3,TUN,Mouhib Chamakh,1,26,20,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_usa_matt_turner_348f92d8,USA,Matt Turner,0,21,17,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_mex_guillermo_ochoa_add9f489,MEX,Guillermo Ochoa,0,3,3,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_uru_sergio_rochet_c189e500,URU,Sergio Rochet,0,7,5,through quarterfinals,fifa_player_stats_2026,2026-07-12
p_alg_oussama_benbot_899e999e,ALG,Oussama Benbot,0,14,13,through quarterfinals,fifa_player_stats_2026,2026-07-12
