player_id,old_club_id,new_club_id,canonical_club_name
p_arg_marcos_senesi_23e61c4b,c_bournemouth_39b029b6,c_afc_bournemouth_61e18bcd,AFC Bournemouth
p_cze_pavel_sulc_da22eec3,c_lyon_438a3fab,c_lyon_8ff8803d,Olympique Lyonnais
p_eng_trevoh_chalobah_10f08bc4,c_chelsea_3635e19c,c_chelsea_e655b01a,Chelsea F.C.
p_ger_nadiem_amiri_5a1a2651,c_mainz_22831aa9,c_mainz_05_a2ff4aed,1. FSV Mainz 05
p_hai_garven_metusala_665742b3,c_colorado_springs_switchbacks_fc_b6effa4d,c_colorado_springs_switchbacks_a19366a9,Colorado Springs Switchbacks
p_irn_shahriyar_moghanlou_434f2302,c_kalba_b92240e8,c_kalba_cd0a6e06,Kalba FC
p_irq_ahmed_maknzi_1ce7dd2d,c_al_karma_24e71577,c_al_karma_f9b63d11,Al-Karma SC
p_jor_mohammad_taha_fd5d6fec,c_al_hussein_7234b0cf,c_al_hussein_1fe1435d,Al-Hussein SC (Irbid)
p_ned_lutsharel_geertruida_b091abd8,c_sunderland_4c3969a1,c_sunderland_4aa579a0,Sunderland A.F.C.
p_ksa_sultan_mandash_37fed0c4,c_al_hilal_c3621aa5,c_al_hilal_67047244,Al Hilal SFC
p_sco_tyler_fletcher_57f94bad,c_manchester_united_14c38c14,c_manchester_united_f05b841f,Manchester United F.C.
p_uzb_ruslanbek_jiyanov_92e8c31a,c_navbahor_namangan_294bc8dd,c_navbahor_c6d5cb2a,PFC Navbahor Namangan
