player_name,team_code,position,yellow_cards,red_cards,indirect_red_cards
Andres Cubas,PAR,MF,1,0,0
Aleksandar Pavlovic,GER,MF,1,0,0
Ermedin Demirovic,BIH,FW,1,0,0
Matias Galarza,PAR,MF,2,0,0
Richard Rios,COL,MF,1,0,0
Juan Jose Caceres,PAR,DF,1,0,0
Gustavo Puerta,COL,DF,1,0,0
Breel Embolo,SUI,FW,2,1,1
Brandon Mechele,BEL,DF,1,0,0
Alex Baena,ESP,MF,1,0,0
Harry Souttar,AUS,DF,1,0,0
Lautaro Martinez,ARG,FW,1,0,0
Carlos Harvey,PAN,DF,1,0,0
Chris Richards,USA,DF,1,0,0
Weston Mckennie,USA,MF,1,0,0
Samuel Moutoussamy,COD,MF,1,0,0
Luc De Fougerolles,CAN,DF,2,0,0
Richie Laryea,CAN,DF,1,0,0
Marawan Attia,EGY,MF,2,0,0
Franck Kessie,CIV,MF,1,0,0
Achraf Hakimi,MAR,DF,1,0,0
Caleb Yirenkyi,GHA,MF,2,0,0
Rodrigo Bentancur,URU,MF,1,0,0
Alan Franco,ECU,MF,2,0,0
Luis Suarez,COL,FW,1,0,0
Agustin Canobbio,URU,MF,0,1,0
Danilo,BRA,DF,2,0,0
Timothy Castagne,BEL,DF,1,0,0
Maxim De Cuyper,BEL,DF,1,0,0
Stefan Posch,AUT,DF,2,0,0
Petar Sucic,CRO,MF,1,0,0
Lucas Bergvall,SWE,MF,1,0,0
Saeid Ezatolahi,IRN,MF,2,0,0
Jassem Gaber,QAT,DF,1,0,0
Nasser Aldawsari,KSA,MF,1,0,0
Jude Bellingham,ENG,MF,1,0,0
Nathan Ngoy,BEL,DF,0,1,0
Nico Oreilly,ENG,DF,1,0,0
Konrad Laimer,AUT,MF,1,0,0
Ruben Dias,POR,DF,1,0,0
Guela Doue,CIV,DF,1,0,0
Yasser Ibrahim,EGY,DF,2,0,0
Jefferson Lerma,COL,MF,1,0,0
Casemiro,BRA,MF,2,0,0
Davinson Sanchez,COL,DF,1,0,0
Ladislav Krejci,CZE,DF,1,0,0
Abdukodir Khusanov,UZB,DF,2,0,0
Amar Dedic,BIH,DF,1,0,0
Juninho Bacuna,CUW,MF,2,0,0
Tarik Muharemovic,BIH,DF,0,1,0
Niko Sigur,CAN,DF,1,0,0
Sphephelo Sithole,RSA,MF,0,1,0
Jonathan David,CAN,FW,1,0,0
Carlens Arcus,HAI,DF,1,0,0
Mohanad Lashin,EGY,MF,2,0,0
Cyle Larin,CAN,FW,2,0,0
Danley Jean Jacques,HAI,MF,1,0,0
Nathan Saliba,CAN,MF,1,0,0
Alistair Johnston,CAN,DF,1,0,0
Kevin Pina,CPV,MF,1,0,0
Frantzdy Pierrot,HAI,FW,1,0,0
Bilal El Khannouss,MAR,MF,1,0,0
Lamine Camara,SEN,MF,1,0,0
Mohamed Kanno,KSA,MF,1,0,0
Micky Van De Ven,NED,DF,1,0,0
Renato Veiga,POR,DF,2,0,0
Jamal Musiala,GER,MF,1,0,0
Nico Elvedi,SUI,DF,1,0,0
Gabriel Gudmundsson,SWE,DF,1,0,0
Alessandro Circati,AUS,DF,1,0,0
Jhon Lucumi,COL,DF,1,0,0
Edson Alvarez,MEX,DF,1,0,0
Moises Caicedo,ECU,MF,1,0,0
Jorge Sanchez,MEX,DF,1,0,0
Brian Gutierrez,MEX,MF,1,0,0
Sebastian Berhalter,USA,MF,1,0,0
Piero Hincapie,ECU,DF,1,1,0
Jhon Arias,COL,MF,1,0,0
Diego Gomez,PAR,MF,2,0,0
Tyler Adams,USA,MF,1,0,0
Gonzalo Plata,ECU,FW,1,0,0
Fabinho,BRA,MF,1,0,0
Antonee Robinson,USA,DF,1,0,0
Josue Casimir,HAI,FW,1,0,0
Cesar Montes,MEX,DF,0,1,0
Jose Fajardo,PAN,FW,1,0,0
Andres Andrade,PAN,DF,1,0,0
Saud Abdulhamid,KSA,DF,1,0,0
Yazan Alarab,JOR,DF,1,0,0
Nathanael Mbuku,COD,MF,1,0,0
Shoja Khalilzadeh,IRN,DF,1,0,0
Ramiz Zerrouki,ALG,MF,1,0,0
Hicham Boudaoui,ALG,MF,1,0,0
Homam Ahmed,QAT,DF,0,1,0
Kaishu Sano,JPN,MF,1,0,0
Nikola Katic,BIH,DF,1,0,0
Jurien Gaari,CUW,DF,1,0,0
Livano Comenencia,CUW,MF,1,0,0
Jean Ricner Bellegarde,HAI,MF,1,0,0
Derek Cornelius,CAN,DF,1,0,0
Pape Gueye,SEN,MF,1,0,0
Thalente Mbatha,RSA,MF,1,0,0
Issa Diop,MAR,DF,3,0,0
Aubrey Modiba,RSA,DF,1,0,0
Granit Xhaka,SUI,MF,2,0,0
Callum Mccowatt,NZL,MF,1,0,0
Viktor Gyokeres,SWE,FW,1,0,0
Marko Stamenic,NZL,MF,1,0,0
Denis Zakaria,SUI,MF,2,0,0
Pau Cubarsi,ESP,DF,1,0,0
Jordan Bos,AUS,DF,1,0,0
Ferran Torres,ESP,FW,1,0,0
Aymeric Laporte,ESP,DF,1,0,0
Yasin Ayari,SWE,MF,1,0,0
Manu Kone,FRA,MF,1,0,0
Luka Modric,CRO,MF,1,0,0
Aurelien Tchouameni,FRA,MF,1,0,0
Ivan Perisic,CRO,FW,2,0,0
Patrick Berg,NOR,MF,1,0,0
Michael Olise,FRA,FW,1,0,0
Bradley Barcola,FRA,FW,1,0,0
Bernardo Silva,POR,MF,2,0,0
Andy Robertson,SCO,DF,1,0,0
Kai Havertz,GER,FW,1,0,0
Declan Rice,ENG,MF,2,0,0
Leandro Bacuna,CUW,MF,1,0,0
Facundo Medina,ARG,DF,1,0,0
Douglas Santos,BRA,DF,1,0,0
Mathias Olivera,URU,DF,1,0,0
Junior Alonso,PAR,DF,1,0,0
Folarin Balogun,USA,FW,1,1,0
Marko Arnautovic,AUT,FW,1,0,0
Leandro Paredes,ARG,MF,1,0,0
Gonzalo Montiel,ARG,DF,1,0,0
Edgar Yoel Barcenas,PAN,MF,1,0,0
Malik Tillman,USA,MF,1,0,0
Ali Nemati,IRN,DF,1,0,0
Amir Alammari,IRQ,MF,2,0,0
Merchas Doski,IRQ,DF,1,0,0
Fares Chaibi,ALG,MF,1,0,0
Salem Aldawsari,KSA,FW,1,0,0
Zaid Tahseen,IRQ,DF,1,0,0
Isak Hien,SWE,DF,1,0,0
Elijah Just,NZL,MF,1,0,0
Sherzod Nasrullaev,UZB,DF,1,0,0
Jackson Irvine,AUS,MF,1,0,0
Pedri,ESP,MF,1,0,0
Liam Millar,CAN,MF,1,0,0
Rani Khedira,TUN,MF,1,0,0
Redouane Halhal,MAR,DF,1,0,0
Hamdy Fathy,EGY,MF,1,0,0
Teboho Mokoena,RSA,MF,2,0,0
Azzedine Ounahi,MAR,MF,1,0,0
Haissem Hassan,EGY,FW,2,0,0
Mahmoud Saber,EGY,MF,1,0,0
Inaki Williams,GHA,FW,1,0,0
Ahmed Fatouh,EGY,DF,1,0,0
Jackson Porozo,ECU,DF,1,0,0
Miguel Almiron,PAR,MF,1,1,0
Cesar Blackman,PAN,DF,1,0,0
Roger Ibanez,BRA,DF,1,0,0
Thiago Almada,ARG,FW,1,0,0
Nicolas De La Cruz,URU,MF,1,0,0
Marcel Sabitzer,AUT,MF,1,0,0
Crysencio Summerville,NED,FW,1,0,0
Axel Witsel,BEL,MF,1,0,0
Kristoffer Ajer,NOR,DF,1,0,0
Romelu Lukaku,BEL,FW,1,0,0
Marc Guehi,ENG,DF,1,0,0
Nelson Semedo,POR,DF,1,0,0
Kevin De Bruyne,BEL,MF,1,0,0
Gervane Kastaneer,CUW,FW,2,0,0
Sarpreet Singh,NZL,MF,1,0,0
Yunus Akgun,TUR,FW,1,0,0
Eren Elmali,TUR,DF,1,0,0
Ryan Christie,SCO,MF,1,0,0
Aaron Hickey,SCO,DF,1,0,0
Mohannad Abutaha,JOR,MF,1,0,0
Diney Borges,CPV,DF,1,0,0
Assim Madibo,QAT,MF,0,1,0
Feras Albrikan,KSA,FW,1,0,0
Ahmed Fathy,QAT,MF,2,0,0
Ehsan Hajisafi,IRN,DF,1,0,0
Sidny Lopes Cabral,CPV,DF,2,0,0
Daichi Kamada,JPN,MF,1,0,0
Charles Pickel,COD,MF,1,0,0
Husam Abudahab,JOR,DF,1,0,0
Junnosuke Suzuki,JPN,DF,1,0,0
Shogo Taniguchi,JPN,DF,1,0,0
Lee Gihyuk,KOR,MF,1,0,0
Noah Sadiki,COD,MF,2,0,0
Rebin Sulaka,IRQ,DF,0,1,0
Paik Seungho,KOR,MF,1,0,0
Chancel Mbemba,COD,DF,1,0,0
Mahmoud Abunada,QAT,GK,1,0,0
Abdulelah Alamri,KSA,DF,1,0,0
Lee Kangin,KOR,MF,1,0,0
Cho Guesung,KOR,FW,1,0,0
Mohammad Abuzraiq,JOR,FW,1,0,0
Hossein Kanani,IRN,DF,1,0,0
Antonio Nusa,NOR,FW,1,0,0
Tomas Araujo,POR,DF,1,0,0
Jarell Quansah,ENG,DF,1,1,0
Memphis Depay,NED,FW,1,0,0
Abdoulaye Seck,SEN,DF,1,0,0
Abdul Fatawu,GHA,FW,1,0,0
Alidu Seidu,GHA,DF,1,0,0
Wagner Pina,CPV,DF,1,0,0
Nkosinathi Sibisi,RSA,DF,1,0,0
Kojo Peprah Oppong,GHA,DF,1,0,0
Themba Zwane,RSA,MF,0,1,0
Nicolas Pepe,CIV,FW,1,0,0
Seko Fofana,CIV,MF,1,0,0
Juan Manuel Sanabria,URU,MF,1,0,0
Jose Manuel Lopez,ARG,FW,1,0,0
Alex Arce,PAR,FW,1,0,0
Johan Mojica,COL,DF,1,0,0
Jordy Alcivar,ECU,MF,1,0,0
Neymar Jr,BRA,FW,1,0,0
Guillermo Varela,URU,DF,1,0,0
Kendry Paez,ECU,MF,1,0,0
Findlay Curtis,SCO,FW,1,0,0
Odiljon Xamrobekov,UZB,MF,1,0,0
Edin Dzeko,BIH,FW,1,0,0
Miro Muheim,SUI,DF,1,0,0
Kenny Mclean,SCO,MF,1,0,0
Ermin Mahmic,BIH,MF,1,0,0
Stjepan Radeljic,BIH,DF,1,0,0
Jovo Lukic,BIH,FW,1,0,0
Duckens Nazon,HAI,FW,1,0,0
Mostafa Shoubir,EGY,GK,1,0,0
Johny Placide,HAI,GK,1,0,0
Jordan Henderson,ENG,MF,1,0,0
Jacob Italiano,AUS,DF,1,0,0
Johan Vasquez,MEX,DF,1,0,0
