player_name,team_code,position,gk_saves,gk_actions_inside_box,gk_actions_outside_box
Orlando Gill,PAR,GK,28,141,124
Eloy Room,CUW,GK,21,81,72
Gregor Kobel,SUI,GK,20,100,88
Diogo Costa,POR,GK,20,114,93
Yassine Bounou,MAR,GK,19,112,91
Vozinha,CPV,GK,18,136,102
Zion Suzuki,JPN,GK,17,78,64
Mohammed Alowais,KSA,GK,17,86,78
Thibaut Courtois,BEL,GK,17,110,90
Orjan Nyland,NOR,GK,17,107,93
Bart Verbruggen,NED,GK,17,57,54
Mahmoud Abunada,QAT,GK,16,124,103
Alireza Beiranvand,IRN,GK,15,75,65
Lionel Mpasi,COD,GK,15,83,70
Alexander Schlager,AUT,GK,15,85,74
Alisson,BRA,GK,15,67,59
Jordan Pickford,ENG,GK,14,116,94
Mostafa Shoubir,EGY,GK,14,119,105
Ronwen Williams,RSA,GK,14,72,59
Patrick Beach,AUS,GK,14,91,76
Johny Placide,HAI,GK,13,56,48
Hernan Galindez,ECU,GK,12,68,63
Jacob Widell Zetterstrom,SWE,GK,12,54,46
Dominik Livakovic,CRO,GK,12,80,68
Mike Maignan,FRA,GK,11,66,53
Yahia Fofana,CIV,GK,11,84,68
Kim Seunggyu,KOR,GK,11,42,34
Max Crocombe,NZL,GK,11,97,88
Matej Kovar,CZE,GK,11,60,52
Unai Simon,ESP,GK,10,85,65
Matt Freese,USA,GK,10,58,48
Orlando Mosquera,PAN,GK,9,48,42
Angus Gunn,SCO,GK,9,75,64
Luca Zidane,ALG,GK,9,34,32
Yazeed Abulaila,JOR,GK,8,70,56
Edouard Mendy,SEN,GK,8,34,25
Lawrence Ati Zigi,GHA,GK,8,31,30
Benjamin Asare,GHA,GK,8,55,47
Nikola Vasilj,BIH,GK,8,92,70
Ugurcan Cakir,TUR,GK,8,55,46
Emiliano Martinez,ARG,GK,8,76,64
Raul Rangel,MEX,GK,8,57,46
Camilo Vargas,COL,GK,7,57,54
Jalal Hassan,IRQ,GK,7,51,45
Manuel Neuer,GER,GK,7,61,45
Maxime Crepeau,CAN,GK,7,49,40
Aymen Dahmen,TUN,GK,6,51,44
Mory Diaw,SEN,GK,5,53,45
Egil Selvik,NOR,GK,5,25,22
Abduvohid Nematov,UZB,GK,5,55,44
Kristoffer Nordfeldt,SWE,GK,4,22,20
Fernando Muslera,URU,GK,4,41,34
Ahmed Basil,IRQ,GK,3,43,36
Senne Lammens,BEL,GK,2,7,5
Utkir Yusupov,UZB,GK,1,27,21
Mouhib Chamakh,TUN,GK,1,26,20
Matt Turner,USA,GK,0,21,17
Guillermo Ochoa,MEX,GK,0,3,3
Sergio Rochet,URU,GK,0,7,5
Oussama Benbot,ALG,GK,0,14,13
